LABORATÓRIO	REGISTRO	EAN 1	PRODUTO	APRESENTAÇÃO
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832605070045	7896422527545	AMOXICILINA + CLAVULANATO DE POTÁSSIO	875 MG + 125 MG COM REV CT FR VD AMB X 14
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832605070053	7896422527538	AMOXICILINA + CLAVULANATO DE POTÁSSIO	875 MG + 125 MG COM REV CT FR VD AMB X 20
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832605080016	7896422527521	AMOXICILINA + CLAVULANATO DE POTÁSSIO	(80,0 + 11,4) MG/ML PO SUS OR CT FR VD AMB X 70 ML + SER DOS
GLAXOSMITHKLINE BRASIL LTDA	1010700760620	7896015591519	CLAVULIN	(120 + 8,58) MG/ML PO SUS OR CT FR VD TRANS X 50 ML + SER DOS
EUROFARMA LABORATORIOS S.A.	1004314060012	7891317015367	PERMUT	0,5 MG/G + 1,0 MG/G + 10,0 MG/G + 10,0 MG/G CREM DERM CT BG AL X 20 G
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049701870018	7896006220589	POLIDERMS	(0,5+1+10+10) MG/G CREM DERM CT BG AL X 20 G
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049714080010	7896006214694	QUATRIN	(0,5+1+10+10) MG/G CREM DERM CT BG AL X 20 G
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049714880017	7896006201182	VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL	(0,5+1+10+10) MG/G CREM DERM CT BG AL X 20 G
GERMED FARMACEUTICA LTDA	1058304630036	7896004713991	VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + CLIOQUINOL + TOLNAFTATO POMADA	0,5 MG/G + 1,0 MG/G + 10 MG/G + 10 MG/G POM CT BG AL X 20 G  
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181904370036	7895296292016	VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + CLIOQUINOL + TOLNAFTATO	0,5 MG/G + 1,0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G  
CIMED INDUSTRIA S.A	1438101260022	7896523209258	VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL	(0,5 + 1,0 + 10,0 + 10,0) MG/G POM DERM CT BG AL X 20 G 
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542302480016	7899095257573	VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL	0,5 MG/G + 1,0 MG/G + 10,0 MG/G + 10,0 MG/G POM DERM CT BG AL X 20 G
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A	1558404880079	7896714266916	QUADRILON	0,50 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A	1558404880109	7896714266947	QUADRILON	0,50 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.	1781707900073	7891142180766	QUADRIDERM	0,50 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.	1781707900103	7891142180773	QUADRIDERM	0,50 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410706590013	7898216367955	URBANIL	10 MG COM CT BL AL PLAS TRANS X 20  
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410706590056	7898216367979	URBANIL	20 MG COM CT BL AL PLAS TRANS X 20
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410706600019	7898216367993	FRISIUM	10 MG COM CT BL AL PLAS PVC TRANS X 20  
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410706600035	7898216368013	FRISIUM	20 MG COM CT BL AL PLAS PVC TRANS X 20  
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA	1006302680051	7897406120189	CLONAZEPAM	0,5 MG COM CT BL AL PLAS PVDC TRANS X 30
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA	1006302680068	7897406120196	CLONAZEPAM	0,5 MG COM CT BL AL PLAS PVDC TRANS X 60
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA	1006302680076	7897406100013	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC TRANS X 30
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA	1006302680084	7897406120202	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC TRANS X 60
PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	1010000720034	7896226501239	RIVOTRIL	2,5 MG/ML SOL OR CT FR VD CGT X 20 ML
EMS S/A	1023507520021	7896004712932	CLONAZEPAM	2,5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML
EMS S/A	1023511240028	7896004721828	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 30
EMS S/A	1023511240044	7896004759692	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 60
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029805200014	7896676436020	CLOPAM	0,5 MG COM CT BL AL PLAS TRANS X 20
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029805200022	7896676436044	CLOPAM	0,5 MG COM CX BL AL PLAS TRANS X 200
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029805200030	7896676436037	CLOPAM	2 MG COM CT BL AL PLAS TRANS X 20
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029805200049	7896676436051	CLOPAM	2 MG COM CX BL AL PLAS TRANS X 200
LABORATORIO TEUTO BRASILEIRO S/A	1037005530029	7896112135913	CLONAZEPAM	2,5 MG/ML SOL OR CT FR GOT VD AMB X 20 ML
GERMED FARMACEUTICA LTDA	1058304290022	7896004712925	CLONAZEPAM	2,5 MG/ML SOL OR CT FR VD AMB CGT X 20ML 
GERMED FARMACEUTICA LTDA	1058308360017	7896004721835	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 20
GERMED FARMACEUTICA LTDA	1058308360025	7896004721842	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 30
GERMED FARMACEUTICA LTDA	1058308360041	7896004762210	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 60
FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP	1103901800046	7895005803373	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 60
FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP	1103901800070	7895005805063	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 450
BLANVER FARMOQUIMICA E FARMACEUTICA S.A.	1152400110010	7898581710417	RIVOTRIL	2 MG COM CT BL AL PLAS TRANS X 20
BLANVER FARMOQUIMICA E FARMACEUTICA S.A.	1152400110029	7898581710431	RIVOTRIL	0,5 MG COM CT BL AL PLAS TRANS X 20
BLANVER FARMOQUIMICA E FARMACEUTICA S.A.	1152400110037	7898581710455	RIVOTRIL	2,5 MG/ML SOL OR CT FR VD CGT X 20 ML
BLANVER FARMOQUIMICA E FARMACEUTICA S.A.	1152400110045	7898581710448	RIVOTRIL	0,5 MG COM CT BL AL PLAS TRANS X 30
BLANVER FARMOQUIMICA E FARMACEUTICA S.A.	1152400110053	7898581710424	RIVOTRIL	2 MG COM CT BL AL PLAS TRANS X 30
BLANVER FARMOQUIMICA E FARMACEUTICA S.A.	1152400110061	7898581710462	RIVOTRIL	0,25 MG COM SUB CT BL AL PLAST TRANS X 30
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902400019	7895296055017	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 20
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902400027	7895296055024	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 30
RANBAXY FARMACÊUTICA LTDA	1235201930014	7897076913432	CLONAZEPAM	0,5 MG COM CT BL AL PLAS TRANS X 20 
RANBAXY FARMACÊUTICA LTDA	1235201930022	7897076913449	CLONAZEPAM	0,5 MG COM CT BL AL PLAS TRANS X 30
RANBAXY FARMACÊUTICA LTDA	1235201930030	7897076913364	CLONAZEPAM	0,5 MG COM CT BL AL PLAS TRANS X 200
RANBAXY FARMACÊUTICA LTDA	1235201930049	7897076913425	CLONAZEPAM	0,5 MG COM CT BL AL PLAS TRANS X 500
RANBAXY FARMACÊUTICA LTDA	1235201930081	7897076913562	CLONAZEPAM	2 MG COM CT BL AL PLAS TRANS X 500
RANBAXY FARMACÊUTICA LTDA	1235201930103	7897076923387	CLONAZEPAM	2 MG COM CT BL AL PLAS TRANS X 60
PRATI DONADUZZI & CIA LTDA	1256802700024	7899547528282	CLONAZEPAM	0,5 MG COM CT BL AL PLAS PVDC TRANS X 30
PRATI DONADUZZI & CIA LTDA	1256802700032	7899547528299	CLONAZEPAM	0,5 MG COM CT BL AL PLAS PVDC TRANS X 60
PRATI DONADUZZI & CIA LTDA	1256802700105	7899547528367	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC TRANS X 30
PRATI DONADUZZI & CIA LTDA	1256802700113	7899547528374	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC TRANS X 60
PRATI DONADUZZI & CIA LTDA	1256802700164	7899547549591	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 15
PRATI DONADUZZI & CIA LTDA	1256802700172	7899547549607	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 20
PRATI DONADUZZI & CIA LTDA	1256802700180	7899547549614	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 30
PRATI DONADUZZI & CIA LTDA	1256802700199	7899547549621	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 60
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410701210026	7898216366361	CLONAZEPAM	2 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410701210042	7898216361328	CLONAZEPAM	2 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 60
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410706630023	7898216369157	AZENPI	2 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.	1410706630041	7898216369164	AZENPI	2 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 60
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542302550030	7899095258365	CLONAZEPAM	2,5 MG/ML SOL OR CT FR PET AMB GOT X 20 ML
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542302550065	7899095258396	CLONAZEPAM	2,5 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP)
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542302550197	7899095265899	CLONAZEPAM	0,5MG COM CT BL AL PLAS OPC X 30
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542302550243	7899095265943	CLONAZEPAM	2 MG COM CT BL AL PLAS OPC X 30
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542303300011	7899095202412	CLONAZEPAM	2,5 MG/ML SOL OR CT FR GOT PLAS AMB X 20 ML
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542303300046	7899095202566	CLONAZEPAM	2,5 MG/ML SOL OR CX 50 FR GOT PLAS OPC X 20 ML
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542303300178	7899095202429	CLONAZEPAM	0,5MG COM CT BL AL PLAS OPC X 30
GEOLAB INDÚSTRIA FARMACÊUTICA S/A	1542303300224	7899095202405	CLONAZEPAM	2 MG COM CT BL AL PLAS OPC X 30
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677303240026	7894916142403	CLONAZEPAM	2,5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML 
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677304900021	7894916144674	CLONAZEPAM	2 MG COM CT BL AL PLAS PVDC OPC X 30
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832602200029	7896422514644	CLONAZEPAM	0,5 MG COM CT BL AL PLAS OPC X 30
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832602200037	7896422515016	CLONAZEPAM	0,5 MG COM CT BL AL PLAS OPC X 60
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832602200053	7896422514651	CLONAZEPAM	2 MG COM CT BL AL PLAS OPC X 30
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832602200061	7896422515023	CLONAZEPAM	2 MG COM CT BL AL PLAS OPC X 60
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832602630015	7896422511865	CLONAZEPAM	2,5 MG/ML SOL OR CT FR GOT VD AMB X 20 ML
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029804930019	7896676432886	REGENCEL	10.000 UI/G + 25 MG/G + 5 MG/G + 5 MG/G POM OFT CT BG AL X 3,5 G
ZYDUS NIKKHO FARMACÊUTICA LTDA	1565100920065	7897460401873	KOLPOCERVIX	0,6 U/G + 0,01 G/G POM GINEC CT BG AL X 30 G + 6 APLIC
MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.	1091701330014	7896862992996	LIMBITROL	12,5 MG + 5,0 MG CAP GEL DURA CT BL AL PLAS TRANS X 20
ADIUM S.A.	1221401020038	7892953003527	BIO - VAGIN	62,5 MG/G + 25.000 UI/G + 1,25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC
ARESE PHARMA LTDA	1581900170011	7899824400928	COLPIST MT	62,5 MG/G + 25000 UI/G + 1,25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC 
FARMOQUÍMICA S/A	1039000590054	7898040320034	COLPISTAR	62,5 + 4,380 + 1,250 + 2,5 MG CR VAG CT BG AL X 40 G + 10 APLIC
FRESENIUS MEDICAL CARE LTDA	1322301020057	7898157450440	CPHD COM GLICOSE	(138+1,0+2,5+1,0+107,51+3,0+32+1) MEQ/L SOL HD GAL PLAS PEAD TRANS X 5L
FRESENIUS MEDICAL CARE LTDA	1322301020065	7898157450433	CPHD COM GLICOSE	(138+2,0+2,5+1,0+108,5+3,0+32+1) MEQ/L SOL HD GAL PLAS PEAD TRANS X 5L
FRESENIUS MEDICAL CARE LTDA	1322301020073	7898157450396	CPHD COM GLICOSE	(138+2,0+3,5+1,0+109,5+3,0+32+1) MEQ/L SOL HD GAL PLAS PEAD TRANS X 5L
FRESENIUS MEDICAL CARE LTDA	1322301020014	7898157450471	CPHD COM GLICOSE	(138+2,0+2,5+1,0+104,06+4,0+35,44+1) MEQ/L SOL HD GAL PLAS PEAD TRANS X 5L
FRESENIUS MEDICAL CARE LTDA	1322301020030	7898157450419	CPHD COM GLICOSE	(138+2,0+3,0+1,0+104,56+4,0+35,44+1) MEQ/L SOL HD GAL PLAS PEAD TRANS X 5L
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049702060036	7896006288404	SUCCINIL COLIN	100 MG PO SOL INJ CT FA VD TRANS
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049702060044	7896006289609	SUCCINIL COLIN	500 MG PO SOL INJ CT FA VD TRANS
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000120017	7898920500518	CLORETO DE SÓDIO	200 MG/ML SOL INJ CX 10 FA VD TRANS 50ML
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000120025	7898920500525	CLORETO DE SÓDIO	200 MG/ML SOL INJ CX 25 FA VC TRANS 50 ML
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000120033	7898920500532	CLORETO DE SÓDIO	200 MG/ML SOL INJ CX 50 FA VD TRANS 50 ML
ANTIBIÓTICOS DO BRASIL LTDA	1556200570024	7898564761368	RAPIFEN	544 MCG/ML SOL INJ IV CX 5 AMP VD TRANS X 5 ML
EUROFARMA LABORATORIOS S.A.	1004314100014	7891317015107	MANTIDAN	100 MG COM CT BL AL PLAS PVC TRANS X 20
EUROFARMA LABORATORIOS S.A.	1004314100022	7891317015121	MANTIDAN	100 MG COM CT BL AL PLAS PVC TRANS X 30
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA	1006302670070	7897406120097	CLORIDRATO DE AMITRIPTILINA	25 MG COM REV CT BL AL PLAS PVDC TRANS X 30
INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA	1006302670097	7897406120080	CLORIDRATO DE AMITRIPTILINA	75 MG COM REV CT BL AL PLAS PVDC TRANS X 30
EMS S/A	1023508850023	7896004709567	CLORIDRATO DE AMITRIPTILINA	75 MG COM REV CT BL AL PLAS OPC X 30
EMS S/A	1023508850041	7896004727776	CLORIDRATO DE AMITRIPTILINA	25 MG COM REV CT BL AL PLAS OPC X 30 
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029802250045	7896676400083	AMYTRIL	25 MG COM REV CT BL AL PLAS PVDC TRANS X 20
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029802250053	7896676403220	AMYTRIL	25 MG COM REV CX  BL AL PLAS PVDC TRANS X 200
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029802250071	7896676410518	AMYTRIL	75 MG COM REV CT BL AL PLAS PVDC TRANS X 20
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029802250088	7896676410501	AMYTRIL	75 MG COM REV CX  BL AL PLAS PVDC TRANS X 200
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029802250118	7896676422269	AMYTRIL	25 MG COM REV CT BL AL PLAS PVDC TRANS X 30
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029802250126	7896676422276	AMYTRIL	25 MG COM REV CT BL AL PLAS PVDC TRANS X 60
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029803640017	7896676413045	AMYTRIL	10 MG COM REV CX BL AL PLAS TRANS X 30 
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029803640025	7896676413052	AMYTRIL	10 MG COM REV CT BL AL PLAS TRANS X 10
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029803640041	7896676431537	AMYTRIL	10 MG COM REV CX BL AL PLAS PVDC TRANS X 30 
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029803640051	7896676431520	AMYTRIL	10 MG COM REV CT BL AL PLAS PVDC TRANS X 10
GERMED FARMACEUTICA LTDA	1058307990017	7896004709598	CLORIDRATO DE AMITRIPTILINA	75 MG COM REV CT BL AL PLAS OPC X 20
GERMED FARMACEUTICA LTDA	1058307990041	7896004727493	CLORIDRATO DE AMITRIPTILINA	25 MG COM REV CT BL AL PLAS OPC X 30 
FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP	1103901810041	7895005804172	CLORIDRATO DE AMITRIPTILINA	25 MG COM REV CT BL AL PLAS OPC X 30 
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410016	7898430194351	MITRIP	10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410024	7898430194368	MITRIP	10 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 30
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410032	7898430194429	MITRIP	10 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 200
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410040	7898430194375	MITRIP	25 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 10
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410059	7898430194436	MITRIP	25 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 20
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410067	7898430194382	MITRIP	25 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 30
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410075	7898430194443	MITRIP	25 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 60
MYRALIS INDUSTRIA FARMACEUTICA LTDA	1146200410083	7898430194450	MITRIP	25 MG COM REV CT BL AL PLAS PVC/PVDC  TRANS X 200
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A	1558400670029	7896714208190	CLORIDRATO DE AMITRIPTILINA	25 MG COM CX BL AL PLAS TRANS X 200
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A	1558400670037	7896714274058	CLORIDRATO DE AMITRIPTILINA	25 MG COM CT BL AL PLAS TRANS X 30
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677304270034	7894916140102	CLORIDRATO DE AMITRIPTILINA	25 MG COM REV CT BL AL PLAS OPC X 20 
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677304270042	7894916340151	CLORIDRATO DE AMITRIPTILINA	25 MG COM REV CT BL AL PLAS OPC X 30 
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832601330034	7896422524636	CLORIDRATO DE AMITRIPTILINA	25 MG COM REV CT BL AL PLAS TRANS X 30
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832601330077	7896422524643	CLORIDRATO DE AMITRIPTILINA	75 MG COM REV CT BL AL PLAS TRANS X 30
APSEN FARMACEUTICA S/A	1011806490021	7896637033947	ATENTAH	10 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806490102	7896637033954	ATENTAH	18 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806490188	7896637033961	ATENTAH	25 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806490269	7896637033978	ATENTAH	40 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806490323	7896637033985	ATENTAH	60 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806490366	7896637033992	ATENTAH	80 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806490404	7896637034005	ATENTAH	100 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806660024	7896637038515	CLORIDRATO DE ATOMOXETINA	10 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806660105	7896637038522	CLORIDRATO DE ATOMOXETINA	18 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806660180	7896637038539	CLORIDRATO DE ATOMOXETINA	25 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806660261	7896637038546	CLORIDRATO DE ATOMOXETINA	40 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806660326	7896637038553	CLORIDRATO DE ATOMOXETINA	60 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806660369	7896637038560	CLORIDRATO DE ATOMOXETINA	80 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
APSEN FARMACEUTICA S/A	1011806660407	7896637038577	CLORIDRATO DE ATOMOXETINA	100 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029800960037	7896676408126	CINETOL	2 MG COM CX 8 BL  AL PLAS TRANS X 10
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029800960045	7896676403251	CINETOL	2 MG COM CX 20 BL AL PLAS TRANS X 10
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029805990023	7896676442076	CINETOL	2  MG  COM  CT  BL  AL PLAS  PVC/PVDC  TRANS  X  80
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.	1029805990031	7896676442083	CINETOL	2 MG  COM  CT  BL  AL  PLAS PVC/PVDC  TRANS  X  200
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049701900014	7896006253693	PROPARK	2 MG COM CT  BL AL PLAS PVC/PVDC TRANS X 75
LIBBS FARMACÊUTICA LTDA	1003301110115	7896094209008	ZETRON	300 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30
LIBBS FARMACÊUTICA LTDA	1003301110123	7896094209022	ZETRON	300 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60
EUROFARMA LABORATORIOS S.A.	1004309480017	7891317473723	BUP	150 MG COM REV LIB PROL CT BL AL/AL X 12
EUROFARMA LABORATORIOS S.A.	1004309480025	7891317438937	BUP	150 MG COM REV LIB PROL CT BL AL/AL X 30
EUROFARMA LABORATORIOS S.A.	1004309480033	7891317438944	BUP	150 MG COM REV LIB PROL CT BL AL/AL X 60
EUROFARMA LABORATORIOS S.A.	1004311920029	7891317189631	CLORIDRATO DE BUPROPIONA	150 MG COM REV LIB PROL CT BL AL/AL X 30
EUROFARMA LABORATORIOS S.A.	1004311920037	7891317189648	CLORIDRATO DE BUPROPIONA	150 MG COM REV LIB PROL CT BL AL/AL X 60
EUROFARMA LABORATORIOS S.A.	1004313340011	7891317010225	BUP XL	150 MG COM REV LIB PROL CT BL AL AL X 7
EUROFARMA LABORATORIOS S.A.	1004313340021	7891317010201	BUP XL	150 MG COM REV LIB PROL CT BL AL AL X 30
EUROFARMA LABORATORIOS S.A.	1004313340038	7891317036966	BUP XL	150 MG COM REV LIB PROL CT BL AL AL X 60
EUROFARMA LABORATORIOS S.A.	1004313340089	7891317010232	BUP XL	300 MG COM REV LIB PROL CT BL AL AL X 7
EUROFARMA LABORATORIOS S.A.	1004313340097	7891317010218	BUP XL	300 MG COM REV LIB PROL CT BL AL AL X 30
EUROFARMA LABORATORIOS S.A.	1004313340100	7891317036973	BUP XL	300 MG COM REV LIB PROL CT BL AL AL X 60
EUROFARMA LABORATORIOS S.A.	1004313370026	7891317010164	CLORIDRATO DE BUPROPIONA	150 MG COM REV LIB PROL CT BL AL AL X 30
EUROFARMA LABORATORIOS S.A.	1004313370034	7891317010188	CLORIDRATO DE BUPROPIONA	150 MG COM REV LIB PROL CT BL AL AL X 60
EUROFARMA LABORATORIOS S.A.	1004313370093	7891317010171	CLORIDRATO DE BUPROPIONA	300 MG COM REV LIB PROL CT BL AL AL X 30
EUROFARMA LABORATORIOS S.A.	1004313370107	7891317010195	CLORIDRATO DE BUPROPIONA	300 MG COM REV LIB PROL CT BL AL AL X 60
GLAXOSMITHKLINE BRASIL LTDA	1010702380027	7896015518509	WELLBUTRIN	150 MG COM REV LIB PROL CT FR PLAS OPC X 7 
GLAXOSMITHKLINE BRASIL LTDA	1010702380035	7896015516598	WELLBUTRIN	150 MG COM REV LIB PROL CT FR PLAS OPC X 30
